1,01,10/Aug/19,Sergio AgÃ¼ero,Man City,West Ham vsMan City,86' minute,Scored,0-5
2,01,11/Aug/19,Marcus Rashford,Man United,Man Unitedvs Chelsea,18' minute,Scored,4-0
3,02,17/Aug/19,Joshua King,Bournemouth,Aston Villa vsBournemouth,2' minute,Scored,1-2
4,02,19/Aug/19,Paul Pogba,Man United,Wolverhampton vsMan United,68' minute,Missed,1-1
5,03,24/Aug/19,Mark Noble,West Ham,Watford vsWest Ham,3' minute,Scored,1-3
6,03,24/Aug/19,Marcus Rashford,Man United,Man Unitedvs Crystal Palace,70' minute,Missed,1-2
7,03,24/Aug/19,Mohamed Salah,Liverpool,Liverpoolvs Arsenal,49' minute,Scored,3-1
8,03,25/Aug/19,RaÃºl JimÃ©nez,Wolverhampton,Wolverhamptonvs Burnley,90'+7' min,Scored,1-1
9,04,01/Sep/19,Harry Kane,Tottenham,Arsenal vsTottenham,40' minute,Scored,2-2
10,05,14/Sep/19,Marcus Rashford,Man United,Man Unitedvs Leicester,8' minute,Scored,1-0
11,05,15/Sep/19,Roberto Pereyra,Watford,Watfordvs Arsenal,81' minute,Scored,2-2
12,06,20/Sep/19,James Ward-Prowse,Southampton,Southamptonvs Bournemouth,53' minute,Scored,1-3
13,06,21/Sep/19,Sergio AgÃ¼ero,Man City,Man Cityvs Watford,7' minute,Scored,8-0
14,06,22/Sep/19,Nicolas PÃ©pÃ©,Arsenal,Aston Villa vsArsenal,59' minute,Scored,3-2
15,07,28/Sep/19,Luka Milivojevic,Crystal Palace,Crystal Palacevs Norwich,21' minute,Scored,2-0
16,07,28/Sep/19,Jorginho,Chelsea,Chelseavs Brighton,50' minute,Scored,2-0
17,08,05/Oct/19,Wesley,Aston Villa,Norwich vsAston Villa,38' minute,Missed,1-5
18,08,05/Oct/19,Patrick van Aanholt,Crystal Palace,West Ham vsCrystal Palace,63' minute,Scored,1-2
19,08,05/Oct/19,James Milner,Liverpool,Liverpoolvs Leicester,90'+5' minute,Scored,2-1
20,09,19/Oct/19,RaÃºl JimÃ©nez,Wolverhampton,Wolverhamptonvs Southampton,61' min,Scored,1-1
21,10,25/Oct/19,Jamie Vardy,Leicester,Southampton vsLeicester,90'+4' minute,Scored,0-9
22,10,26/Oct/19,Neal Maupay,Brighton,Brightonvs Everton,80' minute,Scored,3-2
23,10,27/Oct/19,Luka Milivojevic,Crystal Palace,Arsenal vsCrystal Palace,32' minute,Scored,2-2
24,10,27/Oct/19,Mohamed Salah,Liverpool,Liverpoolvs Tottenham,75' minute,Scored,2-1
