Season,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,home_pk_scored,home_pk_awarded,away_pk_scored,away_pk_awarded
2019-20,Liverpool,Norwich,4,1,H,0,0,0,0
2019-20,West Ham,Man City,0,5,A,0,0,1,1
2019-20,Bournemouth,Sheffield United,1,1,D,0,0,0,0
2019-20,Burnley,Southampton,3,0,H,0,0,0,0
2019-20,Crystal Palace,Everton,0,0,D,0,0,0,0
2019-20,Watford,Brighton,0,3,A,0,0,0,0
2019-20,Tottenham,Aston Villa,3,1,H,0,0,0,0
2019-20,Leicester,Wolves,0,0,D,0,0,0,0
2019-20,Newcastle,Arsenal,0,1,A,0,0,0,0
2019-20,Man United,Chelsea,4,0,H,1,1,0,0
2019-20,Arsenal,Burnley,2,1,H,0,0,0,0
2019-20,Aston Villa,Bournemouth,1,2,A,0,0,1,1
2019-20,Brighton,West Ham,1,1,D,0,0,0,0
2019-20,Everton,Watford,1,0,H,0,0,0,0
2019-20,Norwich,Newcastle,3,1,H,0,0,0,0
2019-20,Southampton,Liverpool,1,2,A,0,0,0,0
2019-20,Man City,Tottenham,2,2,D,0,0,0,0
2019-20,Sheffield United,Crystal Palace,1,0,H,0,0,0,0
2019-20,Chelsea,Leicester,1,1,D,0,0,0,0
2019-20,Wolves,Man United,1,1,D,0,0,0,0
2019-20,Aston Villa,Everton,2,0,H,0,0,0,0
2019-20,Norwich,Chelsea,2,3,A,0,0,0,0
2019-20,Brighton,Southampton,0,2,A,0,0,0,0
2019-20,Man United,Crystal Palace,1,2,A,0,1,0,0
2019-20,Sheffield United,Leicester,1,2,A,0,0,0,0
2019-20,Watford,West Ham,1,3,A,0,0,1,1
2019-20,Liverpool,Arsenal,3,1,H,1,1,0,0
2019-20,Bournemouth,Man City,1,3,A,0,0,0,0
2019-20,Tottenham,Newcastle,0,1,A,0,0,0,0
2019-20,Wolves,Burnley,1,1,D,0,0,0,0
2019-20,Southampton,Man United,1,1,D,0,0,0,0
2019-20,Chelsea,Sheffield United,2,2,D,0,0,0,0
2019-20,Crystal Palace,Aston Villa,1,0,H,0,0,0,0
2019-20,Leicester,Bournemouth,3,1,H,0,0,0,0
2019-20,Man City,Brighton,4,0,H,0,0,0,0
2019-20,Newcastle,Watford,1,1,D,0,0,0,0
2019-20,West Ham,Norwich,2,0,H,0,0,0,0
2019-20,Burnley,Liverpool,0,3,A,0,0,0,0
2019-20,Everton,Wolves,3,2,H,0,0,0,0
2019-20,Arsenal,Tottenham,2,2,D,0,0,1,1
2019-20,Liverpool,Newcastle,3,1,H,0,0,0,0
2019-20,Brighton,Burnley,1,1,D,0,0,0,0
2019-20,Man United,Leicester,1,0,H,1,1,0,0
2019-20,Sheffield United,Southampton,0,1,A,0,0,0,0
2019-20,Tottenham,Crystal Palace,4,0,H,0,0,0,0
2019-20,Wolves,Chelsea,2,5,A,0,0,0,0
2019-20,Norwich,Man City,3,2,H,0,0,0,0
2019-20,Bournemouth,Everton,3,1,H,0,0,0,0
2019-20,Watford,Arsenal,2,2,D,1,1,0,0
2019-20,Aston Villa,West Ham,0,0,D,0,0,0,0
2019-20,Southampton,Bournemouth,1,3,A,1,1,0,0
2019-20,Leicester,Tottenham,2,1,H,0,0,0,0
2019-20,Burnley,Norwich,2,0,H,0,0,0,0
2019-20,Everton,Sheffield United,0,2,A,0,0,0,0
2019-20,Man City,Watford,8,0,H,1,1,0,0
2019-20,Newcastle,Brighton,0,0,D,0,0,0,0
2019-20,Crystal Palace,Wolves,1,1,D,0,0,0,0
2019-20,West Ham,Man United,2,0,H,0,0,0,0
2019-20,Arsenal,Aston Villa,3,2,H,0,0,0,0
2019-20,Chelsea,Liverpool,1,2,A,0,0,0,0
2019-20,Sheffield United,Liverpool,0,1,A,0,0,0,0
2019-20,Aston Villa,Burnley,2,2,D,0,0,0,0
2019-20,Bournemouth,West Ham,2,2,D,0,0,0,0
2019-20,Chelsea,Brighton,2,0,H,1,1,0,0
2019-20,Crystal Palace,Norwich,2,0,H,1,1,0,0
2019-20,Tottenham,Southampton,2,1,H,0,0,0,0
2019-20,Wolves,Watford,2,0,H,0,0,0,0
2019-20,Everton,Man City,1,3,A,0,0,0,0
2019-20,Leicester,Newcastle,5,0,H,0,0,0,0
2019-20,Man United,Arsenal,1,1,D,0,0,0,0
2019-20,Brighton,Tottenham,3,0,H,0,0,0,0
2019-20,Burnley,Everton,1,0,H,0,0,0,0
2019-20,Liverpool,Leicester,2,1,H,1,1,0,0
2019-20,Norwich,Aston Villa,1,5,A,0,0,0,1
2019-20,Watford,Sheffield United,0,0,D,0,0,0,0
2019-20,West Ham,Crystal Palace,1,2,A,0,0,1,1
2019-20,Arsenal,Bournemouth,1,0,H,0,0,0,0
2019-20,Man City,Wolves,0,2,A,0,0,0,0
2019-20,Southampton,Chelsea,1,4,A,0,0,0,0
2019-20,Newcastle,Man United,1,0,H,0,0,0,0
2019-20,Everton,West Ham,2,0,H,0,0,0,0
2019-20,Aston Villa,Brighton,2,1,H,0,0,0,0
2019-20,Bournemouth,Norwich,0,0,D,0,0,0,0
2019-20,Chelsea,Newcastle,1,0,H,0,0,0,0
2019-20,Leicester,Burnley,2,1,H,0,0,0,0
2019-20,Tottenham,Watford,1,1,D,0,0,0,0
2019-20,Wolves,Southampton,1,1,D,0,0,0,0
2019-20,Crystal Palace,Man City,0,2,A,0,0,0,0
2019-20,Man United,Liverpool,1,1,D,0,0,0,0
2019-20,Sheffield United,Arsenal,1,0,H,0,0,0,0
2019-20,Southampton,Leicester,0,9,A,0,0,1,1
2019-20,Man City,Aston Villa,3,0,H,0,0,0,0
2019-20,Brighton,Everton,3,2,H,1,1,0,0
2019-20,Watford,Bournemouth,0,0,D,0,0,0,0
2019-20,West Ham,Sheffield United,1,1,D,0,0,0,0
2019-20,Burnley,Chelsea,2,4,A,0,0,0,0
2019-20,Newcastle,Wolves,1,1,D,0,0,0,0
2019-20,Arsenal,Crystal Palace,2,2,D,0,0,1,1
2019-20,Liverpool,Tottenham,2,1,H,1,1,0,0
2019-20,Norwich,Man United,1,3,A,0,0,0,2
2019-20,Bournemouth,Man United,1,0,H,0,0,0,0
2019-20,Arsenal,Wolves,1,1,D,0,0,0,0
2019-20,Aston Villa,Liverpool,1,2,A,0,0,0,0
2019-20,Brighton,Norwich,2,0,H,0,0,0,0
2019-20,Man City,Southampton,2,1,H,0,0,0,0
2019-20,Sheffield United,Burnley,3,0,H,0,0,0,0
2019-20,West Ham,Newcastle,2,3,A,0,0,0,0
2019-20,Watford,Chelsea,1,2,A,1,1,0,0
2019-20,Crystal Palace,Leicester,0,2,A,0,0,0,0
2019-20,Everton,Tottenham,1,1,D,0,0,0,0
2019-20,Norwich,Watford,0,2,A,0,0,0,0
2019-20,Chelsea,Crystal Palace,2,0,H,0,0,0,0
2019-20,Burnley,West Ham,3,0,H,0,0,0,0
2019-20,Newcastle,Bournemouth,2,1,H,0,0,0,0
2019-20,Southampton,Everton,1,2,A,0,0,0,0
2019-20,Tottenham,Sheffield United,1,1,D,0,0,0,0
2019-20,Leicester,Arsenal,2,0,H,0,0,0,0
2019-20,Man United,Brighton,3,1,H,0,0,0,0
2019-20,Wolves,Aston Villa,2,1,H,0,0,0,0
2019-20,Liverpool,Man City,3,1,H,0,0,0,0
2019-20,West Ham,Tottenham,2,3,A,0,0,0,0
2019-20,Arsenal,Southampton,2,2,D,0,0,0,1
2019-20,Bournemouth,Wolves,1,2,A,0,0,0,0
2019-20,Brighton,Leicester,0,2,A,0,0,1,1
2019-20,Crystal Palace,Liverpool,1,2,A,0,0,0,0
2019-20,Everton,Norwich,0,2,A,0,0,0,0
2019-20,Watford,Burnley,0,3,A,0,0,1,1
2019-20,Man City,Chelsea,2,1,H,0,0,0,0
2019-20,Sheffield United,Man United,3,3,D,0,0,0,0
2019-20,Aston Villa,Newcastle,2,0,H,0,0,0,0
2019-20,Newcastle,Man City,2,2,D,0,0,0,0
2019-20,Burnley,Crystal Palace,0,2,A,0,0,0,0
2019-20,Chelsea,West Ham,0,1,A,0,0,0,0
2019-20,Liverpool,Brighton,2,1,H,0,0,0,0
2019-20,Tottenham,Bournemouth,3,2,H,0,0,0,0
2019-20,Southampton,Watford,2,1,H,0,0,0,0
2019-20,Norwich,Arsenal,2,2,D,0,0,1,1
2019-20,Wolves,Sheffield United,1,1,D,0,0,0,0
2019-20,Leicester,Everton,2,1,H,0,0,0,0
2019-20,Man United,Aston Villa,2,2,D,0,0,0,0
2019-20,Crystal Palace,Bournemouth,1,0,H,0,0,0,0
2019-20,Burnley,Man City,1,4,A,0,0,0,0
2019-20,Chelsea,Aston Villa,2,1,H,0,0,0,0
2019-20,Leicester,Watford,2,0,H,1,1,0,0
2019-20,Man United,Tottenham,2,1,H,1,1,0,0
2019-20,Southampton,Norwich,2,1,H,0,0,0,0
2019-20,Wolves,West Ham,2,0,H,0,0,0,0
2019-20,Liverpool,Everton,5,2,H,0,0,0,0
2019-20,Sheffield United,Newcastle,0,2,A,0,0,0,0
2019-20,Arsenal,Brighton,1,2,A,0,0,0,0
2019-20,Everton,Chelsea,3,1,H,0,0,0,0
2019-20,Bournemouth,Liverpool,0,3,A,0,0,0,0
2019-20,Tottenham,Burnley,5,0,H,0,0,0,0
2019-20,Watford,Crystal Palace,0,0,D,0,0,0,0
2019-20,Man City,Man United,1,2,A,0,0,1,1
2019-20,Aston Villa,Leicester,1,4,A,0,0,0,0
2019-20,Newcastle,Southampton,2,1,H,0,0,0,0
2019-20,Norwich,Sheffield United,1,2,A,0,0,0,0
2019-20,Brighton,Wolves,2,2,D,0,0,0,0
2019-20,West Ham,Arsenal,1,3,A,0,0,0,0
2019-20,Liverpool,Watford,2,0,H,0,0,0,0
2019-20,Burnley,Newcastle,1,0,H,0,0,0,0
2019-20,Chelsea,Bournemouth,0,1,A,0,0,0,0
2019-20,Leicester,Norwich,1,1,D,0,0,0,0
2019-20,Sheffield United,Aston Villa,2,0,H,0,0,0,1
2019-20,Southampton,West Ham,0,1,A,0,0,0,0
2019-20,Man United,Everton,1,1,D,0,0,0,0
2019-20,Wolves,Tottenham,1,2,A,0,0,0,0
2019-20,Arsenal,Man City,0,3,A,0,0,0,0
2019-20,Crystal Palace,Brighton,1,1,D,0,0,0,0
2019-20,Everton,Arsenal,0,0,D,0,0,0,0
2019-20,Aston Villa,Southampton,1,3,A,0,0,0,0
2019-20,Bournemouth,Burnley,0,1,A,0,0,0,0
2019-20,Brighton,Sheffield United,0,1,A,0,0,0,0
2019-20,Newcastle,Crystal Palace,1,0,H,0,0,0,0
2019-20,Norwich,Wolves,1,2,A,0,0,0,0
2019-20,Man City,Leicester,3,1,H,1,1,0,0
2019-20,Watford,Man United,2,0,H,1,1,0,0
2019-20,Tottenham,Chelsea,0,2,A,0,0,1,1
2019-20,Tottenham,Brighton,2,1,H,0,0,0,0
2019-20,Aston Villa,Norwich,1,0,H,0,0,0,0
